timestamp,open,high,low,close,volume
2023-12-15,351.9,352.7,351.85,352.25,5
2023-12-22,352.25,369.7,352.25,366.8,0
2023-12-29,368.65,374.65,368.65,374.65,0
2024-01-05,382.05,383.4,368.6,368.6,0
2024-01-12,356.7,360.65,356.7,360.65,2
2024-01-19,356.8,358.1,342.3,344.15,0
2024-01-26,349.1,352.0,349.1,350.5,0
2024-02-02,350.65,358.5,345.0,358.5,1
2024-02-09,371.5,371.5,364.85,369.95,0
2024-02-16,370.75,375.0,369.35,369.35,0
2024-02-23,373.45,379.3,373.45,375.95,0
2024-03-01,377.2,377.2,370.15,375.15,0
2024-03-08,373.6,379.7,373.6,374.9,0
2024-03-15,380.4,384.4,366.6,384.4,2
2024-03-22,376.4,391.8,374.05,391.8,0
2024-03-29,389.55,392.85,389.0,392.2,0
2024-04-05,393.6,395.3,389.15,394.8,0
2024-04-12,389.95,391.1,388.3,388.45,0
2024-04-19,384.7,384.7,368.65,374.75,0
2024-04-26,367.9,379.45,367.9,372.7,0
2024-05-03,376.4,382.25,376.4,380.0,0
2024-05-10,379.1,390.9,379.1,386.1,0
2024-05-17,387.75,391.85,386.95,391.85,0
2024-05-24,386.85,390.4,386.85,388.35,0
2024-05-31,381.65,387.7,374.6,374.6,0
2024-06-07,374.4,381.6,374.4,381.6,0
2024-06-14,387.45,387.45,383.2,384.4,1
2024-06-21,384.4,395.65,384.4,389.05,3
2024-06-28,389.05,396.15,389.05,389.6,2
2024-07-05,401.0,405.9,397.9,405.9,0
2024-07-12,413.4,413.6,401.0,401.0,7
2024-07-19,401.0,412.25,394.0,394.0,3
2024-07-26,399.9,399.9,377.8,378.95,14
2024-08-02,386.0,389.8,370.0,370.0,12
2024-08-09,358.5,361.15,332.95,356.6,16
2024-08-16,363.8,372.6,363.8,372.6,290
2024-08-23,381.6,382.05,374.4,382.05,2
2024-08-30,371.55,378.5,365.2,366.7,9
2024-09-06,374.8,374.8,346.45,346.45,8
2024-09-13,338.55,354.45,338.55,354.45,4
2024-09-20,354.35,354.35,354.3,354.3,0
2024-09-27,355.25,367.95,354.6,367.95,4
2024-10-04,349.4,349.4,341.4,347.6,4
2024-10-11,352.55,358.05,352.55,355.45,0
2024-10-18,355.8,360.9,355.8,358.05,0
2024-10-25,355.85,356.15,351.4,352.5,260
2024-11-01,352.8,357.5,348.45,348.45,0
2024-11-08,345.65,348.4,345.65,346.0,0
2024-11-15,345.0,345.0,321.4,321.4,1425
